playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8478396,151.3749,37.066,404.8148,5.8965,117,6,24,1,17,3,0.43474497,0.18039788,0.38485715,0,2,38,0,6,17,0,2,74,17,4,20,1,1,0,2,5
8479675,142.1855,36.482,317.4254,5.4242,13,0,39,1,82,14,0.42119844,0.183328,0.39547356,3,4,4,5,14,9,2,8,7,77,10,13,15,16,0,13,2
8478975,141.8798,35.797,204.6162,5.0047,8,1,35,6,57,11,0.44579757,0.19837018,0.35583224,0,3,4,2,15,9,0,2,3,55,1,10,4,11,0,1,1
8475906,142.3787,34.881,384.1404,7.0877,75,1,33,3,12,2,0.44326255,0.17655039,0.38018706,0,2,29,0,13,6,0,1,10,12,1,1,13,14,0,1,36
8475753,163.3484,35.455,385.3099,6.26,86,4,36,7,13,4,0.42810793,0.18365589,0.38823618,0,8,40,0,16,7,0,2,8,13,14,1,6,13,0,1,38
8478444,152.0025,35.274,314.1446,5.7685,23,0,78,7,62,15,0.45268671,0.16700414,0.38030916,3,0,8,0,28,30,0,7,5,62,2,11,5,20,0,4,10
8475314,142.7649,35.153,292.0918,5.1882,8,0,33,4,93,22,0.44321022,0.17670254,0.38008724,1,0,3,10,17,14,0,6,4,83,2,6,0,2,0,10,1
8481068,147.3676,36.194,333.947,5.9806,16,0,67,6,54,17,0.40892849,0.18518676,0.40588475,0,4,6,2,28,21,0,6,9,52,3,11,5,18,0,2,1
8476923,153.5475,35.966,409.5721,6.7713,78,5,42,4,7,1,0.41081707,0.18307507,0.40610785,0,17,35,0,11,5,0,1,5,7,3,1,9,26,0,0,38
8473994,154.7867,34.706,337.7933,5.2944,26,2,55,2,62,12,0.40169354,0.18043069,0.41787578,0,7,6,4,20,18,0,4,12,58,10,9,5,17,1,3,8
8471669,124.5149,35.22,307.142,5.6738,7,0,28,1,86,17,0.41938122,0.18928926,0.39132953,2,1,1,4,14,5,0,1,2,82,4,6,2,9,0,4,4
8473449,155.8811,36.306,318.7583,5.5704,31,1,63,6,51,13,0.40087666,0.18004246,0.41908089,0,3,12,0,19,17,0,2,6,51,4,5,13,27,0,2,13
8470604,156.7984,36.039,361.4083,5.9569,17,0,48,5,80,13,0.4141927,0.17740187,0.40840542,2,6,4,6,18,9,0,12,5,74,6,6,16,21,1,6,8
8478458,149.1701,37.392,302.4407,6.1632,18,1,47,5,39,14,0.40625486,0.17155238,0.42219275,0,1,10,2,21,7,0,2,2,37,1,4,15,19,1,3,6
8480208,155.0764,34.796,229.9677,6.5953,12,0,36,3,36,9,0.42845143,0.17901585,0.39253272,1,0,1,3,13,10,0,5,3,33,0,5,12,13,1,2,8
8476432,154.4005,34.706,292.9953,5.7923,20,1,43,1,62,19,0.40828209,0.17660313,0.41511478,1,4,4,6,15,18,0,2,10,56,8,10,4,10,3,3,6
8482113,131.7248,36.34,295.5227,5.5763,11,1,46,1,39,10,0.41654228,0.18510114,0.39835658,1,4,3,2,18,17,0,7,6,37,2,7,2,11,0,6,2
8474573,143.4247,34.727,290.9205,5.5933,3,0,36,6,32,8,0.40294798,0.18172892,0.4153231,0,5,1,1,11,12,0,1,0,31,4,1,2,13,0,3,2
8475799,152.2118,35.367,283.2022,4.8711,19,0,31,4,68,18,0.47725202,0.18888788,0.3338601,2,0,12,7,17,8,0,3,7,61,5,7,5,6,0,4,0
8477919,149.0735,36.347,316.8517,5.5329,11,0,53,9,42,4,0.41116293,0.17900897,0.40982809,0,2,3,1,25,17,0,2,2,41,1,6,12,11,0,3,6
8479542,146.7722,36.357,318.4293,5.5279,7,1,42,8,45,14,0.42914497,0.17579673,0.39505831,0,3,3,0,19,16,0,3,2,45,2,5,8,7,0,10,2
8475287,141.7993,37.749,317.9537,5.0771,10,0,58,7,46,10,0.41435092,0.18445647,0.40119261,0,2,2,1,30,14,0,3,6,45,4,4,5,14,0,9,2
8474586,144.8571,35.314,369.5949,6.074,18,0,42,6,74,14,0.44523757,0.17958455,0.37517787,0,1,6,1,14,9,0,8,1,73,1,5,11,19,0,4,11
8474565,157.0237,35.336,458.0958,7.7916,132,5,47,3,8,2,0.4458453,0.18194853,0.37220617,0,24,54,0,16,11,0,1,17,8,1,5,6,20,0,3,61
8477346,146.7722,35.268,442.2848,7.5415,101,0,52,5,19,2,0.44307594,0.19500153,0.36192253,0,14,35,1,17,16,0,3,41,18,3,1,7,19,0,3,25
8475745,152.5014,35.071,371.5392,5.7495,11,2,33,1,50,8,0.41519656,0.18558993,0.39921352,2,3,4,2,19,5,0,5,2,48,2,5,12,9,0,8,5
8476792,151.1496,34.182,296.9166,6.0569,63,2,29,6,5,0,0.45671335,0.17714779,0.36613886,0,4,30,0,14,14,0,2,30,5,8,4,4,1,0,0,3
8481540,146.3537,35.488,314.3217,7.0515,8,0,86,10,50,12,0.42354111,0.18028985,0.39616904,2,2,1,1,20,42,2,11,2,49,2,8,13,24,0,4,5
8477839,137.1483,36.351,273.2682,5.011,10,0,43,7,45,11,0.42652684,0.18262068,0.39085248,0,0,2,1,15,10,0,9,4,44,2,8,4,18,0,8,4
8478519,161.2402,36.581,329.188,6.1073,9,0,50,3,61,14,0.41546197,0.18010133,0.4044367,1,5,2,0,20,12,0,2,2,61,4,7,7,18,0,0,5
8474149,135.6194,35.5,326.7153,5.5656,12,0,41,2,74,17,0.4486339,0.18719919,0.36416691,6,2,5,7,19,12,1,4,4,67,3,19,4,10,0,11,3
8480803,158.2951,36.025,359.732,6.1527,137,5,35,3,9,3,0.44559918,0.17628004,0.37812078,1,6,52,0,9,4,0,1,2,9,6,3,5,22,0,2,83
8478542,150.5219,36.814,333.854,5.6346,50,1,95,11,59,5,0.45437838,0.18096007,0.36466155,2,2,15,1,32,38,0,6,20,58,6,6,13,25,1,3,15
8471215,148.2689,34.529,204.1159,5.7686,19,2,50,4,47,12,0.47465949,0.17900516,0.34633535,1,2,10,3,22,13,0,2,4,44,1,2,2,15,0,3,5
8474641,140.4635,35.648,250.0,5.3216,9,0,44,5,71,14,0.41131616,0.1911869,0.39749694,0,2,5,2,18,17,0,2,2,69,4,2,3,9,0,4,2
8475220,148.7839,35.545,291.5126,5.516,8,0,25,6,48,14,0.4174099,0.17642512,0.40616498,0,3,1,5,17,5,0,7,3,43,2,3,1,3,0,1,4
8475764,152.6302,34.625,439.9853,7.4284,61,4,32,4,13,1,0.4005006,0.18163326,0.41786614,0,7,33,0,17,10,0,0,26,13,1,7,2,5,0,1,2
