playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8479402,138.5967,34.554,258.299,5.0425,38,0,17,3,3,1,0.39871706,0.17339984,0.4278831,1,8,10,0,6,5,1,0,23,3,1,4,2,6,0,1,5
8479520,141.9602,36.686,209.1432,4.0714,8,0,24,2,34,3,0.38945777,0.1675273,0.44301493,0,1,1,3,10,7,0,5,2,31,5,7,5,7,1,2,5
8476278,143.4569,36.292,169.2939,5.0598,18,1,23,2,22,5,0.38005038,0.17913247,0.44081715,1,5,3,3,9,8,0,2,4,19,9,1,7,6,0,0,11
8481704,138.1944,35.194,167.6783,5.4019,4,1,15,2,24,3,0.4383706,0.18511943,0.37650996,2,3,2,3,4,8,0,1,1,21,1,1,1,3,0,2,1
8479336,145.5813,35.93,150.0882,4.6091,17,1,30,3,19,4,0.40780053,0.18007606,0.41212341,4,1,4,6,5,12,1,1,8,13,4,7,6,13,1,4,5
8476919,120.7974,35.087,122.6166,4.1381,2,0,6,0,8,2,0.3828183,0.18743518,0.42974652,1,1,1,2,3,3,0,0,1,6,2,4,1,0,1,0,0
8479414,124.5149,35.3,139.1461,3.8305,5,0,9,2,27,3,0.40263004,0.17206538,0.42530458,1,1,1,4,3,2,0,3,1,23,0,4,6,4,0,1,3
8479671,141.2843,34.92,155.3488,4.2029,3,0,8,1,26,4,0.39471252,0.17671581,0.42857167,2,2,3,5,1,2,0,2,0,21,1,1,7,5,1,2,0
8471709,143.3765,35.096,202.7668,5.0882,35,2,7,0,7,2,0.41917526,0.16070357,0.42012117,0,7,6,2,2,4,1,0,27,5,1,13,1,1,0,0,2
8478421,148.1884,35.069,134.6253,3.1637,6,0,20,1,19,4,0.40879098,0.18277702,0.408432,1,0,1,1,7,6,0,2,5,18,2,3,2,7,0,2,0
8479543,142.2821,36.233,128.3002,3.2283,8,0,12,2,5,1,0.38568809,0.17829092,0.43602099,1,2,2,0,2,7,0,0,3,5,2,6,5,3,0,1,3
8477846,132.4651,34.62,180.6504,4.1451,7,0,9,1,22,3,0.37905982,0.17777576,0.44316443,4,0,2,4,4,1,0,2,2,18,3,1,8,4,0,2,3
8479393,144.4869,36.974,184.6977,4.7774,10,1,27,3,36,1,0.39436638,0.17940651,0.42622711,0,1,3,5,6,13,1,5,6,31,2,18,7,8,0,3,1
8475825,153.628,34.105,269.8776,5.2387,41,1,5,0,1,1,0.38399813,0.18578667,0.4302152,0,4,7,0,3,0,0,0,5,1,0,0,5,2,0,0,29
8478585,117.0315,35.287,187.1812,3.8066,4,0,8,1,23,4,0.40144617,0.17210684,0.42644699,0,0,2,2,5,2,0,2,0,21,1,1,10,1,0,3,2
8477015,132.9157,36.019,254.5754,5.571,8,0,39,1,38,3,0.41427138,0.17643351,0.40929511,1,2,3,5,10,11,0,0,4,33,2,3,10,18,0,5,1
8477406,123.3079,36.805,204.2613,4.4908,3,0,13,0,37,4,0.40890125,0.18280154,0.4082972,0,0,1,6,5,5,0,3,1,31,6,3,0,3,0,2,1
8479980,161.4655,34.352,300.6062,5.1154,67,0,14,2,3,0,0.42244127,0.18193617,0.39562256,0,8,21,0,3,4,0,1,28,3,1,8,2,7,0,1,18
8476856,159.3411,34.601,329.4584,5.4873,39,1,14,1,12,2,0.38246879,0.18285337,0.43467784,1,11,12,0,5,2,0,1,6,12,1,0,4,7,0,3,21
8476624,130.3408,35.495,250.0036,4.0352,4,0,11,0,23,4,0.36308108,0.17649366,0.46042526,1,1,1,5,3,6,0,1,3,18,5,8,4,2,0,3,0
8482133,129.2303,34.657,102.9216,4.5824,6,0,18,1,16,5,0.42888588,0.16712571,0.40398841,0,0,1,2,8,5,0,3,4,14,1,3,0,5,0,1,1
8477950,139.1439,36.43,105.7552,5.0423,22,2,6,0,4,1,0.4849127,0.17456099,0.34052631,0,1,4,0,2,1,0,2,6,4,0,2,7,3,0,0,12
8480806,125.1426,35.835,167.8375,4.609,4,1,8,2,22,2,0.37452531,0.17048229,0.4549924,0,0,1,5,4,3,0,1,3,17,0,2,1,1,0,0,0
8481567,149.7656,35.466,222.0993,5.3329,20,1,12,1,4,1,0.38478311,0.17185258,0.44336431,0,5,5,0,4,6,0,1,14,4,1,5,0,2,0,0,1
8480058,137.8886,35.395,177.0927,4.5782,22,2,9,0,0,0,0.42684596,0.18450732,0.38864672,0,2,8,0,2,6,0,0,12,0,4,5,0,1,0,0,2
8476891,145.0502,34.197,248.1347,5.2527,25,1,10,0,3,0,0.40933563,0.18323006,0.40743431,0,5,4,0,2,7,1,1,17,3,1,9,3,1,0,1,4
8475750,142.2982,33.814,179.6453,3.9066,18,1,8,2,3,0,0.43913894,0.18111963,0.37974143,0,2,6,0,2,4,0,3,12,3,0,8,0,2,0,0,0
8480025,146.5469,35.726,209.7635,4.3794,8,0,19,0,28,5,0.38020604,0.18609689,0.43369706,0,1,1,4,3,9,0,1,4,24,1,1,5,7,0,2,3
8474013,152.7107,33.545,304.9525,4.7996,40,1,8,0,0,0,0.41155431,0.17628339,0.4121623,0,7,13,0,0,6,0,0,22,0,1,1,4,2,0,0,5
8479576,139.6428,36.863,270.9681,4.8487,30,1,5,0,0,0,0.4073087,0.17640581,0.41628549,0,1,7,0,2,0,0,0,3,0,1,0,4,3,0,0,20
8476822,131.3225,36.894,232.196,4.3946,2,0,12,1,30,8,0.35217023,0.17164793,0.47618184,0,2,1,3,2,3,0,0,0,27,1,3,5,7,0,2,1
8480860,154.3522,35.091,328.2523,5.2835,33,0,9,1,0,0,0.3940729,0.1870242,0.4189029,0,3,13,0,2,6,0,2,18,0,2,14,0,1,0,0,2
8484258,144.0202,37.215,78.4936,4.8403,21,2,3,0,0,0,0.41896244,0.17272722,0.40831034,0,1,8,0,1,1,0,0,3,0,1,2,3,1,0,0,10
8479982,142.3787,32.567,95.1668,4.8384,15,1,6,0,2,0,0.43997297,0.17827923,0.38174781,0,1,7,0,1,0,0,0,2,2,0,0,1,5,0,0,6
8474040,131.5639,34.164,70.5318,3.7675,5,0,4,0,14,2,0.43651544,0.16855865,0.39492591,4,1,1,3,1,2,0,2,2,11,2,2,7,1,1,6,2
8470610,128.1038,35.289,101.701,4.9805,2,0,13,1,24,4,0.39728726,0.17464993,0.42806281,0,1,2,5,4,6,0,2,0,19,1,4,1,3,0,2,0
8480834,143.9397,35.532,131.2146,5.6138,19,1,3,0,1,0,0.38597766,0.18031413,0.43370821,0,3,4,0,1,0,0,0,0,1,2,2,1,2,0,0,15
8480849,125.0943,35.785,139.1829,5.3914,0,0,15,0,37,3,0.44450417,0.18128731,0.37420853,1,0,0,1,3,6,0,1,0,36,0,6,3,6,0,3,0
8482142,149.0413,35.757,155.4031,5.7973,37,0,10,2,1,0,0.44832237,0.16968831,0.38198932,0,1,18,0,2,3,0,0,5,1,1,0,4,5,0,1,14
8480871,147.0136,35.182,147.3746,5.7581,22,0,13,0,4,0,0.43964308,0.17483152,0.3855254,1,0,8,0,6,4,0,0,2,4,0,1,4,3,0,0,12
8471274,139.7554,34.623,130.4584,5.2024,20,0,4,0,3,0,0.43037857,0.17667825,0.39294318,0,0,3,0,1,3,0,2,15,3,0,2,0,0,0,1,2
8479369,138.5645,34.434,137.3092,4.9579,18,1,2,0,2,0,0.39070014,0.17356914,0.43573072,0,4,5,1,0,0,0,0,0,1,0,1,10,2,0,0,13
8477018,150.5541,35.862,151.1031,4.8535,38,0,12,2,4,0,0.46307813,0.19686723,0.34005464,1,1,14,0,3,6,0,2,20,4,2,6,0,3,0,1,4
8483460,149.3793,34.644,143.1647,4.7965,20,0,6,1,1,0,0.40616611,0.17912636,0.41470753,1,0,5,0,1,1,0,1,1,1,0,0,8,4,0,1,14
8482964,164.5232,34.468,163.9226,5.2508,47,2,3,1,0,0,0.42176875,0.17989541,0.39833584,0,3,18,0,1,2,0,1,22,0,1,6,0,0,0,0,7
